0,  0,  0,  0,  0,  0,  0,  0,  0,  0
0,  0,  0,  0,  0,  0,  0,  0,  0,  0
0,  89, 0,  0,  0,  0,  0,  0,  0,  0
0,  87, 0,  0,  0,  0,  0,  0,  0,  0
0,  86, 0,  88, 0,  82, 83, 84, 0,  0
0,  85, 74, 71, 73, 79, 0,  0,  0,  0
0,  0,  0,  69, 68, 0,  0,  0,  0,  0
0,  70, 0,  0,  63, 67, 77, 78, 80, 81
66, 55, 56, 61, 62, 0,  0,  0,  0,  0
0,  54, 53, 52, 59, 0,  0,  75, 0,  76
0,  0,  0,  49, 0,  0,  58, 72, 65, 64
0,  0,  0,  46, 48, 50, 39, 0,  57, 60
51, 47, 43, 42, 40, 38, 35, 0,  45, 41
0,  0,  0,  36, 0,  0,  26, 28, 31, 32
44, 37, 33, 27, 0,  0,  24, 0,  0,  0
0,  0,  0,  20, 0,  23, 22, 0,  0,  0
0,  0,  0,  18, 0,  0,  21, 0,  0,  0
34, 0,  0,  17, 15, 0,  19, 0,  0,  30
29, 10, 7,  9,  12, 11, 8,  14, 0,  25
0,  5,  4,  0,  3,  2,  6,  1,  13, 16
