0,  0,  0,  0,  0,  0,  20, 0,  0,  0,  0,  0,  0,  0,  0
0,  0,  0,  0,  0,  0,  20, 20, 0,  0,  0,  0,  0,  0,  0
0,  0,  0,  0,  0,  0,  20, 0,  0,  0,  0,  0,  0,  0,  0
0,  0,  0,  0,  14, 14, 14, 14, 0,  0,  0,  0,  0,  0,  0
0,  18, 0,  0,  13, 0,  0,  0,  0,  0,  0,  0,  17, 19, 0
18, 18, 0,  0,  13, 0,  0,  0,  0,  0,  0,  0,  17, 19, 0
0,  18, 15, 15, 13, 0,  0,  0,  0,  0,  0,  0,  17, 19, 0
0,  15, 15, 9,  13, 0,  0,  0,  12, 0,  0,  0,  17, 19, 0
0,  0,  0,  9,  9,  0,  0,  0,  12, 12, 0,  16, 16, 16, 16
0,  0,  0,  0,  9,  0,  0,  0,  12, 0,  0,  11, 11, 11, 11
0,  8,  8,  8,  8,  5,  5,  5,  5,  10, 10, 10, 10, 0,  0
0,  7,  7,  7,  7,  0,  0,  0,  3,  3,  0,  0,  0,  0,  0
0,  0,  0,  6,  0,  0,  0,  3,  3,  1,  4,  4,  4,  4,  0
0,  0,  0,  6,  6,  0,  0,  0,  0,  1,  1,  0,  0,  0,  0
0,  0,  0,  6,  2,  2,  2,  2,  0,  0,  1,  0,  0,  0,  0
